Date,File Name,Dataset,CRS,Bounds,Path
2025-03-02,[TS_S2_2025-01-01_RGB_20260301_1657] 2025-03-02,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(-29.69, 22.71)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-01_RGB_20260301_1657\Data_2025-03-02\TS_S2_2025-01-01_RGB_20260301_1657_2025-03-02.tif
2025-04-01,[TS_S2_2025-01-01_RGB_20260301_1657] 2025-04-01,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(-29.69, 22.71)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-01_RGB_20260301_1657\Data_2025-04-01\TS_S2_2025-01-01_RGB_20260301_1657_2025-04-01.tif
2025-05-01,[TS_S2_2025-01-01_RGB_20260301_1657] 2025-05-01,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(-29.69, 22.71)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-01_RGB_20260301_1657\Data_2025-05-01\TS_S2_2025-01-01_RGB_20260301_1657_2025-05-01.tif
2026-02-14,[Cabgan_BARMM_Mono_S2_2026-02-14_RGB_20260301_182639] 2026-02-14,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(7.91, 123.58)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Cabgan_BARMM_Mono_S2_2026-02-14_RGB_20260301_182639\Data_2026-02-14\Cabgan_BARMM_Mono_S2_2026-02-14_RGB_20260301_182639_2026-02-14.tif
2026-02-14,[Area_Mono_S2_2026-02-14_RGB_20260301_185254] 2026-02-14,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(7.91, 123.58)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_Mono_S2_2026-02-14_RGB_20260301_185254\Data_2026-02-14\Area_Mono_S2_2026-02-14_RGB_20260301_185254_2026-02-14.tif
2025-09-02,[Area_Mono_S2_2025-09-02_RGB_20260301_185831] 2025-09-02,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(7.91, 123.58)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_Mono_S2_2025-09-02_RGB_20260301_185831\Area_Mono_S2_2025-09-02_RGB_20260301_185831_2025-09-02.tif
2026-02-14,[Area_Mono_S2_2026-02-14_RGB_20260301_191434] 2026-02-14,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(7.91, 123.58)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_Mono_S2_2026-02-14_RGB_20260301_191434\Area_Mono_S2_2026-02-14_RGB_20260301_191434_2026-02-14.tif
2025-09-02 02:15,[Area_Mono_S2_2025-09-02_02-15_RGB_20260301_195723] 2025-09-02 02:15,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(7.91, 123.58)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_Mono_S2_2025-09-02_02-15_RGB_20260301_195723\Area_Mono_S2_2025-09-02_02-15_RGB_20260301_195723_2025-09-02_02-15.tif
2024-10-05 02:25,[Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004] 2024-10-05 02:25,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(7.91, 123.58)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004\Data_2024-10-05_02-25\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004_2024-10-05_02-25.tif
2024-11-04 02:25,[Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004] 2024-11-04 02:25,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(7.91, 123.58)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004\Data_2024-11-04_02-25\Area_TS_S2_2024-10-05_02-25_RGB_20260301_200004_2024-11-04_02-25.tif
